Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating,id
Born of Vengeance,12.99,Books > Literature & Fiction > Fiction > Romance > Fantasy,"Berman, Fred Kenyon, Sherrilyn",1427282625,0.0,St Martins Pr,,5.25 x 6.00 x 1.00 Inches,,,1597
Frankenstein,4.95,Books > Literature & Fiction > Fiction > Horror,Mary Shelley,3487584,352.0,Simon &amp; Schuster,English,6.75 x 4.19 x 25.40 Inches (US),,,1598
The Most Dangerous Game,15.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Espionage","Lyall, Gavin",1448200369,264.0,Bloomsbury USA Academic,,6.25 x 9.25 x 0.50 Inches,,,1599
Hexed,7.27,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary,"Hearne, Kevin",5522494,307.0,Random House,English,7.00 x 4.25 x 1.00 Inches,,,1600
A Piece of the World,14.88,Books > Literature & Fiction > Fiction > Historical,"Kline, Christina Baker",2356265,309.0,HarperCollins,English,9.25 x 6.50 x 1.00 Inches,,,1601
SIGHT UNSEEN,7.98,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Private Investigators",Roy Johansen Iris Johansen,61283,368.0,St. Martin's PressSt. Martin's Paperbacks,English,172.47 x 4.18 x 0.96 Millimeters,,,1602
Swords and Scoundrels,13.75,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Julia Knight,6374969,400.0,Orbit,English,8.25 x 5.50 x 1.10 Inches (US),,,1603
Midnight in Death/Interlude in Death (Paperback),15.36,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Robb, J. D.",749957581,,"Little, Brown Book Group",,,,,1604
The One Man,6.98,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Historical",Andrew Gross,79526,496.0,St. Martin's PressSt. Martin's Paperbacks,English,7.48 x 105.41 x 26.54 Inches (US),,,1605
Naked in Death,7.99,Books > Literature & Fiction > Fiction > Romance > Suspense > Best seller ranking: > # > 14780 >  > in > Books > # > 151 >  > in > Books > Mystery & Suspense > # > 17 >  > in > Books > Mystery & Suspense > General,J. D. Robb,5148295,320.0,BerkleyPenguin Publishing Group,English,,,5.0,1606
Kushiel's Chosen,3.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Historical,Jacqueline Carey,5307341,496.0,Tom Doherty AssociatesTor Books,English,9.33 x 6.86 x 34.04 Inches (US),,,1607
The Measure of the Magic,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Brooks, Terry",5484229,467.0,Random House,English,7.25 x 4.75 x 1.00 Inches,,,1608
SW,18.88,"Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera > Best seller ranking: > # > 1180 >  > in > Books > # > 65 >  > in > Books > Art, Music & Photography > # > 1 >  > in > Books > Art, Music & Photography > Performing Arts","WENDIG, CHUCK",034551162X,400.0,Random House Inc,English,6.50 x 9.50 x 1.25 Inches,,,1609
Needled to Death,7.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Maggie Sefton,5207067,256.0,BerkleyPenguin Publishing Group,English,,,,1610
LAST SEEN,9.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Psychological","MOFINA, RICK",,544.0,,,,,,1611
Cobra Traitor,13.59,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,Timothy  Zahn,1481482807,416.0,Baen,English,9.25 x 155.57 x 1.10 Inches (US),,,1612
The Dolls,4.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Technological",James Patterson,316469777,144.0,"BookShotsLittle, Brown and Company",English,,,,1613
Mudbound,13.99,Books > Literature & Fiction > Fiction > Historical,Hillary Jordan,5126774,336.0,Algonquin Books,English,8.25 x 5.56 x 1.13 Inches (US),,,1614
The Marco Effect ,13.38,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",Jussi Adler-Olsen,7516629,512.0,DuttonPenguin Publishing Group,English,8.00 x 5.30 x 1.10 Inches (US),,,1615
"DA VINCI CODE, THE",8.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 6669 >  > in > Books > # > 583 >  > in > Books > Literature & Fiction > # > 92 >  > in > Books > Literature & Fiction > Mystery & Suspense","BROWN, DAN",7474275,624.0,Random House,English,7.50 x 4.25 x 1.50 Inches,,5.0,1616
DOCTOR SLEEP,6.11,Books > Literature & Fiction > Fiction > Horror,Stephen King,1698865,672.0,Pocket Books,English,190.50 x 104.78 x 1.40 Millimeters,,5.0,1617
"DARKEST WINTER, THE",4.78,Books > Literature & Fiction > Fiction > Westerns,"JOHNSTONE, WILLIAM W.",078604036X,304.0,Kensington Pub Corp,English,6.75 x 4.25 x 1.00 Inches,,,1618
Mythmaker,7.19,Books > Literature & Fiction > Fiction > Media Tie-Ins,"Waggoner, Tim",3298545,302.0,Random House,English,6.75 x 4.25 x 0.75 Inches,,,1619
Altered Carbon,12.98,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Hard Science Fiction,"Morgan, Richard K.",5457682,375.0,Random House Inc,English,9.50 x 6.00 x 0.75 Inches,,,1620
Night Angel,17.54,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Brent Weeks,316201286,1264.0,Orbit,English,9.25 x 6.00 x 2.00 Inches (US),,,1621
