Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
The Wife Between Us,21.28,Books > Literature & Fiction > Women's Fiction,Greer Hendricks Sarah Pekkanen,1250130921,352,St. Martin's Press ,English,6.4 x 1.3 x 9.6 inches,1.2 pounds,4
To Kill a Mockingbird Paperback ,8.99,Books > Literature & Fiction > Classics,"LEE, HARPER",60935464,384,Harper Perennial Modern Classics ,English,5.2 x 1 x 8.2 inches,9 ounces,3
The Handmaid's Tale Paperback ,9.59,Books > Literature & Fiction > Genre Fiction,"ATWOOD, MARGARET",038549081X,336,Anchor; 1st Anchor Books edition ,English,5.2 x 0.7 x 8 inches,4.8 ounces,4
Still Me,17.7,Books > Literature & Fiction > Genre Fiction,Jojo Moyes,399562451,400,Pamela Dorman Books ,English,6.4 x 1.3 x 9.3 inches,1.4 pounds,4
RED SPARROW (MTI),8.58,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,1501168916,576,Pocket Books; Media Tie-In edition ,English,4.1 x 1.3 x 7.5 inches,10.9 ounces,4
Oathbringer ,21.21,Books > Literature & Fiction > Action & Adventure,Brandon Sanderson,076532637X,1248,Tor Books ,English,6.4 x 2.3 x 9.6 inches,3 pounds,4
Brave New World Paperback ,12.99,Books > Science Fiction & Fantasy > Science Fiction,"HUXLEY, ALDOUS",60850523,288,Harper Perennial; Reprint edition ,English,5.3 x 0.6 x 8 inches,5.6 ounces,4
It ,16.35,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1501175467,1184,Scribner; Media Tie-In edition ,English,5.5 x 2.4 x 8.4 inches,2.3 pounds,4
The Couple Next Door ,13.25,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Shari Lapena,735221103,336,Penguin Books; Reprint edition ,English,5.2 x 0.6 x 8 inches,8 ounces,4
Night Moves,18.26,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Kellerman, Jonathan",345541464,395,Ballantine Books ,English,6.4 x 1.2 x 9.6 inches,1.4 pounds,4
The Last Mrs. Parrish,17.67,Books > Literature & Fiction > Women's Fiction,"Constantine, Liv",62667572,393,Harper; First Edition edition ,English,6 x 1.2 x 9 inches,1.4 pounds,4
The Woman in Cabin 10 Paperback ,9.8,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Ruth Ware,1501132954,384,Gallery/Scout Press; Reprint edition ,English,5.3 x 1 x 8.2 inches,8 ounces,3
Big Little Lies Paperback ,15.79,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Liane Moriarty,425274861,512,Berkley; Reprint edition ,English,5.5 x 1.1 x 8.2 inches,1.6 pounds,4
Lincoln in the Bardo,10.7,Books > Literature & Fiction > Genre Fiction,"Saunders, George",812985400,368,Random House Trade Paperbacks; Reprint edition ,English,5.5 x 0.8 x 8.2 inches,11.4 ounces,3
All the Light We Cannot See,9.98,Books > Literature & Fiction > Genre Fiction,Anthony Doerr,1501173219,544,Scribner; Reprint edition ,English,5.2 x 1.1 x 8 inches,13.4 ounces,4
The Kremlin's Candidate,20.29,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,1501140086,448,Scribner ,English,6 x 1.2 x 9 inches,1.3 pounds,3
The Witcher Boxed Set,29.65,Books > Literature & Fiction > Action & Adventure,Andrzej Sapkowski,316438979,1216,Orbit; Translation edition ,English,5.5 x 3.2 x 8.4 inches,2.3 pounds,4
Armada,15.48,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Cline, Ernest",804137277,384,Broadway Books; Reprint edition ,English,5.2 x 0.8 x 8 inches,13.6 ounces,3
The Long Way Home,13.73,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,1250022053,400,Minotaur Books; Reprint edition ,English,5.5 x 1.1 x 8.2 inches,12 ounces,4
The Nature of the Beast,10.87,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,125002210X,400,Minotaur Books; Reprint edition ,English,5.4 x 1.1 x 8.3 inches,12 ounces,4
The Wise Man's Fear Kingkiller Chronicle,6.8,Books > Literature & Fiction > Action & Adventure,Patrick Rothfuss,756407915,1120,DAW; Reissue edition ,English,4.2 x 1.9 x 6.8 inches,1.1 pounds,4
Red Alert,19.58,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Marshall Karp James Patterson,316395560,368,"Little, Brown and Company; Large Print edition ",English,6.4 x 1.5 x 9.6 inches,1.2 pounds,nan
Ramses the Damned,9.26,Books > Literature & Fiction > Genre Fiction,"Rice, AnneRice, Christopher",1101970324,416,"Anchor; Complete Numbers Starting with 1, 1st Ed edition ",English,5.1 x 0.9 x 8 inches,10.4 ounces,4
Truly Madly Guilty Paperback ,13.89,Books > Literature & Fiction > Genre Fiction,Liane Moriarty,1250069807,544,Flatiron Books; Reprint edition ,English,5.5 x 1.4 x 8.2 inches,1 pounds,3
The People vs. Alex Cross Hardcover ,19.37,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,316273902,432,"Little, Brown and Company ",English,6.4 x 1.4 x 9.6 inches,1.9 pounds,4
Echo Burning Jack Reacher,8.15,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lee Child,515143820,592,Berkley; Reissue edition ,English,4.2 x 1.2 x 7.6 inches,11.2 ounces,4
"Tinker, Tailor, Soldier, Spy ",13.06,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John le Carré,143119788,400,Penguin Books; Reprint edition ,English,5.5 x 1.1 x 8.2 inches,12 ounces,4
